course_title,course_organization,course_certificate_type,course_time,course_rating,course_reviews_num,course_difficulty,course_url,course_students_enrolled,course_skills
An Introduction to Consumer Neuroscience Neuromarketing,Copenhagen Business School,Course,1 - 3 Months,4.7,3.1k,Beginner,https://www.coursera.org/learn/neuromarketing,171277.0,"['Consumer Behaviour', 'Marketing', 'Consumer Neuroscience', 'Neuromarketing']"
An Introduction to Programming the Internet of Things (IOT),"University of California, Irvine",Specialization,3 - 6 Months,4.7,19.6k,Beginner,https://www.coursera.org/specializations/iot,154449.0,"['Arduino', 'Python Programming', 'Internet Of Things (IOT)', 'Raspberry Pi']"
Analyze Data to Answer Questions,Google,Course,1 - 4 Weeks,4.6,1.1k,Beginner,https://www.coursera.org/learn/analyze-data,6911.0,"['Spreadsheet', 'Data Analysis', 'SQL', 'Data Calculations', 'Data Aggregation']"
Analyze Datasets and Train ML Models using AutoML,DeepLearning.AI,Course,1 - 4 Weeks,4.6,9.5k,Advanced,https://www.coursera.org/learn/automl-datasets-ml-models,466585.0,"['Statistical Data Bias Detection', 'Multi-class Classification with FastText and BlazingText', 'Data ingestion', 'Exploratory Data Analysis', 'Automated Machine Learning (AutoML)']"
Android App Development,Vanderbilt University,Specialization,3 - 6 Months,4.8,3.5k,Beginner,https://www.coursera.org/specializations/android-app-development,67777.0,"['Software Testing', 'Android Software Development', 'Java Programming', 'Junit']"
Animal Behaviour and Welfare,The University of Edinburgh,Course,1 - 3 Months,4.5,3.6k,Mixed,https://www.coursera.org/learn/animal-welfare,105704.0,"['Animal', 'Animal Behavior', 'Veterinary', 'Dog']"
Analisis de Datos de Google,Google,Professional Certificate,3 - 6 Months,4.6,454,Beginner,https://www.coursera.org/professional-certificates/analisis-de-datos-de-google,49668.0,"['Determinacion del tamano de la muestra', 'Limpieza de datos', 'Integridad de datos', 'Hoja de calculo', 'SQL', 'Visualizacion de Datos (DataViz)', 'Tableau Software', 'presentacion', 'analisis de datos', 'Programacion en R', 'R Markdown', 'Rstudio', 'Cuestionamiento', 'Resolucion de problemas', 'Toma de decisiones', 'Recopilacion de datos', 'Metadatos', 'Etica de datos', 'Portfolio de trabajo', 'Caso practico', 'Calculos en torno a los datos', 'Agregacion de datos']"
Applied Data Science,IBM,Specialization,3 - 6 Months,4.8,63,Beginner,https://www.coursera.org/specializations/applied-data-science,8745.0,"['Predictive Modelling', 'Python Programming', 'Data Analysis', 'Data Visualization (DataViz)', 'Model Selection', 'Dashboards and Charts', 'dash', 'Matplotlib', 'Data Science', 'Pandas', 'Jupyter notebooks', 'Numpy', 'Methodology', 'Github', 'Jupyter Notebook', 'Data Science Methodology', 'K-Means Clustering']"
Applied Data Science Capstone,IBM,Course,1 - 3 Months,4.6,48.3k,Intermediate,https://www.coursera.org/learn/applied-data-science-capstone,14456.0,"['Methodology', 'Github', 'Jupyter Notebook', 'Data Science Methodology', 'K-Means Clustering']"
Applied Data Science with Python,University of Michigan,Specialization,3 - 6 Months,4.7,6.8k,Intermediate,https://www.coursera.org/specializations/data-science-python,144609.0,"['Text Mining', 'Python Programming', 'Pandas', 'Matplotlib']"
